N,P,K,temperature,humidity,ph,labels
63,23,2,25.36768364,72.52054555,6.606984086,maize
81,27,17,25.34217103,63.31801994,6.330554389,maize
83,23,9,25.00933355,67.816568,6.528631266,maize
83,37,9,18.66746724,71.516474,5.721667141,maize
88,45,3,20.37999665,63.73849998,6.644205485,maize
97,30,10,18.09300227,72.61024172,6.376651091,maize
62,21,25,26.16985907,71.96246617,6.247040422,maize
96,30,11,18.65396672,61.37879671,6.656730008,maize
81,46,13,26.07470121,59.37147589,6.2048017,maize
63,34,3,18.92851916,72.80086137,6.158860284,maize
89,51,9,23.30546753,63.24648023,6.385684214,maize
96,26,36,18.74826712,62.49878458,6.417820493,maize
65,44,9,19.74213321,59.66263104,6.381201909,maize
97,32,22,25.73044432,70.74739256,6.877869005,maize
27,66,64,17.02498456,16.98861173,7.485996067,chickpea
21,40,89,19.02061277,17.13159126,6.920251378,chickpea
59,71,86,17.88776475,15.40589717,5.996932037,chickpea
44,75,61,18.86805647,15.65809214,6.391173589,chickpea
28,69,60,18.36952567,19.56381041,7.152811172,chickpea
21,59,88,20.45078582,15.40312102,5.988992796,chickpea
20,65,80,20.6543203,16.60820843,6.231049028,chickpea
45,52,94,17.3348681,18.74926979,7.550808267,chickpea
46,61,65,18.17912258,18.90426935,7.010570541,chickpea
43,58,67,18.01272266,18.30968112,8.753795334,chickpea
33,66,84,20.99373558,19.33470387,8.718192847,chickpea
26,58,92,19.46233971,15.22538951,7.976607593,chickpea
21,68,81,19.81344531,14.69765308,6.515499549,chickpea
34,57,66,18.97424756,19.5161216,8.490127142,chickpea
30,47,75,18.19737048,14.71070537,6.576415562,chickpea
56,77,72,18.72963144,19.18197264,6.481783043,chickpea
23,50,80,20.99502153,19.8601304,7.966605025,chickpea
39,77,82,20.28155898,16.39535215,8.140825437,chickpea
40,44,93,17.48042641,15.7559405,7.228963452,chickpea
36,79,76,20.88818675,14.32313811,6.492546046,chickpea
38,66,90,17.08498521,16.14565756,7.528599957,chickpea
38,67,98,20.09340593,15.11279612,7.701446446,chickpea
38,70,84,17.57212145,14.99927489,8.519975748,chickpea
21,70,93,19.12065218,18.43475844,6.620900869,chickpea
27,74,100,18.57665902,19.22008229,8.104396058,chickpea
45,66,67,17.16606398,14.42457525,6.204090835,chickpea
57,73,81,18.2872007,16.67921616,6.051091339,chickpea
23,46,68,19.03025305,18.66725565,7.690962338,chickpea
32,68,95,17.1418614,17.0662427,7.829211144,chickpea
60,74,70,17.47809436,17.93253975,6.761599706,chickpea
55,40,96,20.56601874,14.25803981,6.654425315,chickpea
48,79,97,17.22385224,15.82069268,6.129533877,chickpea
23,49,84,19.69141713,19.44225438,8.829273328,chickpea
44,68,97,17.84851658,19.09172907,8.621662982,chickpea
32,59,70,18.8202251,16.1074793,8.204862075,chickpea
26,58,81,17.47500984,16.54314829,6.18042747,chickpea
33,46,65,18.72649425,17.58406365,7.978996755,chickpea
37,57,78,18.65580107,16.17772668,7.863113671,chickpea
28,47,87,18.2356751,19.68538502,6.967843048,chickpea
22,61,81,18.81198127,15.21618225,6.206582193,chickpea
60,75,74,18.65054116,17.80852431,8.868741443,chickpea
55,66,98,20.36720401,16.89574311,8.766128654,chickpea
50,78,95,18.38120357,16.63805158,8.736337905,chickpea
50,69,64,17.17012591,17.30457712,8.081095263,chickpea
58,42,94,19.37101121,15.77458129,6.138243973,chickpea
40,60,91,17.92845928,14.27327988,7.496645259,chickpea
25,52,100,19.45339934,18.23490739,8.380185271,chickpea
44,70,75,19.12829388,14.92241479,6.289614016,chickpea
50,52,75,19.1034283,17.26184541,6.586777189,chickpea
47,76,93,17.48504075,16.96070581,6.89655198,chickpea
32,48,80,19.40751744,18.98030507,7.806747656,chickpea
48,70,92,20.18649426,19.63719995,7.150681303,chickpea
31,54,80,17.30287885,15.15405941,6.64919573,chickpea
33,59,82,17.50361137,15.48083156,7.778591618,chickpea
56,41,96,18.17234999,14.70085967,6.358740355,chickpea
59,71,86,17.57445618,16.71826572,8.255450758,chickpea
20,49,79,20.93175255,18.91295403,6.456148474,chickpea
52,62,96,19.71098332,17.63879418,6.613072145,chickpea
35,47,60,19.07937684,17.86754927,8.165359297,chickpea
38,80,72,18.54988627,16.02542689,7.64867466,chickpea
60,71,61,18.19903647,17.41333199,6.545888558,chickpea
28,75,76,18.88852533,14.99451145,7.104224797,chickpea
42,42,62,18.49311205,14.72115044,7.358099622,chickpea
39,46,89,19.48974337,17.17260319,6.4740245,chickpea
21,58,71,17.25769499,18.74943955,7.840339389,chickpea
42,40,63,19.62416326,18.71483156,7.064790365,chickpea
44,64,71,20.67526473,19.85388984,7.599033472,chickpea
55,48,86,20.02381489,16.63294455,6.715587232,chickpea
53,72,68,20.1187446,14.44228303,6.81712422,chickpea
59,53,84,20.65691793,15.84572566,7.985417393,chickpea
40,60,84,19.2582557,14.2804191,7.545258424,chickpea
38,59,67,17.927806,15.85622899,7.728998197,chickpea
26,61,65,19.16288268,15.83500655,7.354973451,chickpea
39,46,73,20.26942271,19.96978871,7.313122235,chickpea
26,45,79,17.09104223,18.25142068,7.785039076,chickpea
49,80,86,17.06579293,17.54024066,6.307004923,chickpea
49,43,73,20.62767492,14.44008871,6.403982316,chickpea
54,57,64,20.8248451,17.85057083,7.599279991,chickpea
52,72,89,19.46210401,18.72831993,7.217018459,chickpea
60,47,82,17.18248372,16.42891834,7.561108006,chickpea
49,73,84,17.48911699,16.39055394,7.489545074,chickpea
21,73,62,17.48395377,14.76014523,6.609696734,chickpea
56,53,69,19.48316794,17.44534641,7.476800943,chickpea
24,40,67,19.71359733,18.09665739,7.325451279,chickpea
33,46,84,19.48649305,16.06240074,6.489389282,chickpea
51,67,65,19.95264829,14.82633099,7.786366322,chickpea
21,49,85,19.41789736,16.80472243,6.408437886,chickpea
25,66,85,19.45591848,18.02235902,8.423873703,chickpea
44,68,68,20.19137759,16.41998269,8.719960893,chickpea
58,58,73,18.8392908,14.74071856,7.811997977,chickpea
26,80,93,20.71219282,19.83643308,6.317153205,chickpea
50,51,93,18.99424448,15.9362937,7.114405288,chickpea
42,48,93,19.96837462,15.57324389,8.135900726,chickpea
39,79,74,17.81564548,17.60756635,7.714153038,chickpea
23,51,92,20.71424384,15.27824066,7.103798069,chickpea
28,64,97,17.34150229,18.75626255,8.861479668,chickpea
49,52,71,17.43732714,14.33847406,7.861128148,chickpea
23,71,100,18.89780215,19.76182946,7.4526709,chickpea
34,59,78,18.59190771,14.77959596,7.168096055,chickpea
55,56,66,18.31561493,15.36143547,7.26311855,chickpea
22,75,33,17.13692774,20.59541693,5.68597166,kidneybeans
35,63,23,19.63474332,18.90705639,5.759237003,kidneybeans
20,67,12,22.91350245,21.33953114,5.873171894,kidneybeans
0,71,34,16.43340342,24.24045875,5.926676985,kidneybeans
40,63,8,22.13974653,23.02251117,5.95561668,kidneybeans
11,56,21,17.84806561,18.77621951,5.949949081,kidneybeans
25,72,27,19.88394011,20.31564139,5.789214289,kidneybeans
4,52,39,19.32509638,23.3334788,5.581021521,kidneybeans
17,47,12,18.4167001,23.42829938,5.689858133,kidneybeans
32,54,36,21.81167649,23.20591245,5.794158504,kidneybeans
29,55,4,19.72702528,18.28173015,5.748190463,kidneybeans
25,59,35,17.15432954,19.87070659,5.566522896,kidneybeans
2,70,10,19.62207826,18.67170854,5.809419584,kidneybeans
6,47,28,21.63149148,21.17919701,5.887263027,kidneybeans
5,48,3,16.06522754,18.72479695,5.99812453,kidneybeans
24,42,25,20.61162204,24.36314135,5.792744849,kidneybeans
34,73,6,21.42451099,20.39659714,5.912289889,kidneybeans
25,66,30,19.07096165,21.21092266,5.788386951,kidneybeans
36,74,0,21.18853178,19.63438599,5.728233081,kidneybeans
17,49,31,23.0429097,22.42610972,5.833940084,kidneybeans
37,66,35,20.65375833,23.10538637,5.967533236,kidneybeans
12,53,1,18.09551014,18.29318436,5.625096446,kidneybeans
3,76,22,18.23775702,21.07643273,5.515615023,kidneybeans
17,42,23,17.48189735,18.8251973,5.954665349,kidneybeans
10,70,33,19.9191786,21.47324158,5.74644777,kidneybeans
27,68,17,20.27514686,23.2353604,5.877347515,kidneybeans
28,67,14,15.77370214,19.2303162,5.979973965,kidneybeans
1,45,31,16.71170642,19.17651433,5.635993966,kidneybeans
29,77,21,17.66148158,18.15302753,5.635231778,kidneybeans
38,61,21,18.50692825,23.61670065,5.679224346,kidneybeans
1,56,32,24.51324787,20.81527638,5.670062975,kidneybeans
15,55,26,18.87614998,24.54038287,5.724242065,kidneybeans
40,42,1,21.59343016,20.31871249,5.811314232,kidneybeans
37,71,1,20.12373284,24.45202552,5.783425416,kidneybeans
20,80,33,15.43546065,18.37477907,5.607808432,kidneybeans
17,68,10,22.64236876,21.59396123,5.946999529,kidneybeans
31,69,10,21.98560799,24.87304788,5.852046999,kidneybeans
39,67,13,20.53052663,18.09224048,5.824090984,kidneybeans
26,57,9,15.78601387,21.14544088,5.502999119,kidneybeans
2,40,23,19.6365349,19.68751084,5.821649914,kidneybeans
17,47,0,20.57341244,19.7520218,5.711439256,kidneybeans
13,57,18,20.16080524,24.84207559,5.514927264,kidneybeans
36,74,25,21.53989176,24.25386207,5.99616119,kidneybeans
34,69,30,15.53834801,23.75560241,5.695422863,kidneybeans
16,73,16,19.91853092,20.70099804,5.833010958,kidneybeans
20,71,21,20.76952209,18.93146941,5.568456899,kidneybeans
28,80,9,23.46168338,23.22197648,5.645435626,kidneybeans
12,41,7,24.32116642,21.0278674,5.821194486,kidneybeans
7,53,24,20.12574053,24.96969858,5.659254981,kidneybeans
19,50,16,21.80619564,18.57086554,5.945465949,kidneybeans
22,58,31,19.52226241,24.92607153,5.951177452,kidneybeans
14,56,8,17.00067625,19.90790546,5.520880014,kidneybeans
12,53,0,16.78791503,24.96881755,5.578410206,kidneybeans
21,69,39,24.84906168,22.89464642,5.608165195,kidneybeans
31,49,34,16.51783455,20.4555596,5.609435128,kidneybeans
20,51,18,18.15300153,19.38602098,5.509295379,kidneybeans
24,51,19,23.18864385,22.3104551,5.902033406,kidneybeans
40,68,17,23.38002569,21.98879437,5.744117663,kidneybeans
40,75,20,18.358923,19.37703396,5.717143397,kidneybeans
14,46,16,19.25975367,20.51346956,5.542690119,kidneybeans
21,60,24,22.95458237,24.03553105,5.858617867,kidneybeans
9,67,3,20.120043,22.89845607,5.618844277,kidneybeans
25,60,2,21.14011423,22.7182355,5.606620346,kidneybeans
22,66,5,24.92360104,18.22590825,5.582178402,kidneybeans
12,55,29,15.33042636,24.91506728,5.56503533,kidneybeans
9,70,35,18.81097271,21.27833035,5.889614577,kidneybeans
25,60,29,23.44260668,22.77255917,5.934136378,kidneybeans
36,63,31,22.8352024,18.97267518,5.683548308,kidneybeans
23,44,27,24.9035819,22.27512704,5.70836603,kidneybeans
2,63,22,23.78709569,24.35679348,5.948164454,kidneybeans
1,68,9,22.05592283,19.60379304,5.774755144,kidneybeans
23,77,16,18.87492997,20.18238348,5.97229163,kidneybeans
22,67,27,18.62328774,23.02410338,5.532100554,kidneybeans
19,64,31,23.00884744,18.86880997,5.669560726,kidneybeans
12,42,32,19.33162606,24.13995025,5.655726817,kidneybeans
6,45,17,16.24469193,21.35793891,5.591704014,kidneybeans
26,61,35,17.91652287,24.90814655,5.932323085,kidneybeans
29,45,1,15.46789263,21.43780702,5.824208309,kidneybeans
8,78,22,17.06104474,23.77201471,5.86442953,kidneybeans
12,51,16,21.32776028,18.48522915,5.866744372,kidneybeans
37,42,25,23.90910104,20.74619325,5.706198621,kidneybeans
3,43,25,23.89756791,22.74378977,5.940546818,kidneybeans
19,48,2,22.98666928,20.57940608,5.916779289,kidneybeans
10,60,30,21.35135729,22.91244883,5.779090476,kidneybeans
1,78,30,24.1638445,19.27907819,5.82738029,kidneybeans
6,51,11,24.62835037,18.18325169,5.514234138,kidneybeans
11,70,6,21.02213209,24.93896255,5.662699104,kidneybeans
28,75,30,17.30844532,20.01730914,5.86390397,kidneybeans
6,78,29,23.82576704,24.75485098,5.624690248,kidneybeans
13,71,1,19.30607278,23.96362799,5.591560999,kidneybeans
32,76,21,16.03768615,22.33195853,5.976312538,kidneybeans
36,59,10,19.18572809,20.83398341,5.669236258,kidneybeans
36,56,5,19.92889503,21.79992115,5.961934481,kidneybeans
7,54,4,19.56376468,24.67385131,5.690065688,kidneybeans
2,61,31,18.31357543,24.32991649,5.698371311,kidneybeans
24,43,34,20.10993761,23.22323766,5.59503163,kidneybeans
2,55,9,23.60506572,21.90539577,5.525904526,kidneybeans
14,73,30,19.73136909,24.89487354,5.819403771,kidneybeans
6,76,12,20.93409877,21.1893007,5.562201934,kidneybeans
26,57,29,18.78226261,20.24768314,5.630664753,kidneybeans
4,76,5,36.51268371,57.92887167,6.03160778,pigeonpeas
2,69,37,36.89163721,62.73178224,5.269084669,pigeonpeas
32,44,36,29.23540524,59.38967583,5.985792703,pigeonpeas
20,80,5,27.33534897,43.35795962,6.09186275,pigeonpeas
10,73,3,21.0643684,55.46985938,5.624731338,pigeonpeas
30,51,5,30.33276599,42.35249879,6.446091759,pigeonpeas
1,45,4,31.80130272,45.03186173,5.623490043,pigeonpeas
1,57,39,33.18184225,38.23184742,5.864623352,pigeonpeas
24,76,37,29.38538562,63.47742011,5.761702519,pigeonpeas
1,51,4,30.27374995,67.38680755,4.696518678,pigeonpeas
11,44,8,35.45790488,68.75810535,5.269504214,pigeonpeas
31,74,2,33.80020039,40.03262418,7.445444883,pigeonpeas
25,76,15,28.69180475,49.47225353,5.833031708,pigeonpeas
36,70,26,31.24021696,56.67369054,7.339320929,pigeonpeas
6,61,28,28.98039357,57.23265151,6.347929353,pigeonpeas
31,47,39,27.32198928,34.13737127,4.697750704,pigeonpeas
11,48,36,21.47607807,38.80023714,4.962661422,pigeonpeas
11,80,7,18.31910448,34.69776639,4.964887857,pigeonpeas
29,64,12,36.97794384,37.73992903,5.642813116,pigeonpeas
34,70,8,24.80467592,40.1242747,5.6093956,pigeonpeas
7,73,13,19.3479443,55.96805489,4.681576043,pigeonpeas
33,63,38,28.88302142,50.12323801,5.70951224,pigeonpeas
10,44,26,19.54314136,47.19188279,6.413543781,pigeonpeas
24,72,25,24.7741949,50.54621094,6.007508163,pigeonpeas
25,51,27,18.33124824,38.40975482,4.946369874,pigeonpeas
34,44,14,19.14729038,45.3733757,5.517208078,pigeonpeas
31,72,24,28.23416057,49.4421345,5.902103172,pigeonpeas
37,47,20,30.11812084,34.13307843,5.719889876,pigeonpeas
40,70,12,33.4126864,35.42910045,4.548202098,pigeonpeas
14,44,28,24.18553163,46.68746847,6.669529416,pigeonpeas
3,58,15,26.88630675,41.69617915,4.750929218,pigeonpeas
0,42,23,31.33170829,57.97429171,4.946263888,pigeonpeas
4,54,2,33.30711818,67.07780816,5.266227032,pigeonpeas
27,41,35,23.45379018,46.48714759,7.10959773,pigeonpeas
39,60,0,34.53823889,39.04468913,5.617008201,pigeonpeas
18,61,17,19.50112224,34.51086611,5.632353113,pigeonpeas
27,69,23,28.76794904,37.57792132,4.674941549,pigeonpeas
28,79,25,30.97758716,32.24914235,7.161797643,pigeonpeas
18,55,3,18.39759147,36.82639309,6.624966131,pigeonpeas
22,61,20,35.09357419,30.98685456,5.004074624,pigeonpeas
19,70,5,34.93174223,30.40046769,6.345806011,pigeonpeas
24,65,21,29.50523036,35.72032498,6.216814453,pigeonpeas
6,72,1,34.51934775,47.52980027,5.921666758,pigeonpeas
39,50,40,28.43430726,52.10010827,6.012719118,pigeonpeas
37,76,32,18.41645629,34.80541039,4.684079249,pigeonpeas
29,72,37,31.07508973,47.19847683,7.077170002,pigeonpeas
10,52,28,20.89342749,46.24856523,6.208843215,pigeonpeas
12,49,0,30.90607799,52.79913039,7.05181629,pigeonpeas
34,56,3,27.9348279,66.45457122,4.722222454,pigeonpeas
12,71,20,35.95176642,36.52780776,6.418062652,pigeonpeas
25,73,5,19.54317155,56.92831399,4.803564468,pigeonpeas
26,59,25,19.63736208,32.31528909,4.608695247,pigeonpeas
34,58,21,31.2192752,56.46868874,5.611510977,pigeonpeas
13,40,38,33.50876355,45.70976142,7.322097972,pigeonpeas
3,79,16,24.80710166,45.01110015,5.023115055,pigeonpeas
18,43,12,36.20970524,31.94550613,5.617122801,pigeonpeas
12,45,30,30.50420876,35.48885969,5.391560418,pigeonpeas
0,55,6,26.01630259,49.94704718,5.906596905,pigeonpeas
15,80,4,31.48469278,35.6395615,6.574209678,pigeonpeas
21,49,27,33.15122581,32.45974539,4.807776749,pigeonpeas
12,73,13,23.50222822,51.29019509,4.760038039,pigeonpeas
3,71,34,34.87248659,38.83786012,5.180271502,pigeonpeas
3,64,21,28.09269012,44.93322042,4.895927306,pigeonpeas
7,70,20,24.54757829,57.3414485,6.436160044,pigeonpeas
30,50,24,33.64769646,48.41490082,7.066087261,pigeonpeas
10,67,29,20.5591255,60.54880693,6.655918078,pigeonpeas
19,78,3,19.95991719,59.33157782,5.982854523,pigeonpeas
31,70,7,28.87667593,62.4901206,5.457871273,pigeonpeas
10,77,14,36.04353699,43.61444121,4.759490199,pigeonpeas
34,41,10,23.6734328,47.2879691,7.342409555,pigeonpeas
7,64,40,25.74679443,40.7192594,4.820788186,pigeonpeas
11,80,18,31.08564994,66.68832981,6.242052013,pigeonpeas
24,64,30,18.72987676,61.33186249,5.001038726,pigeonpeas
33,59,7,29.50304807,63.46513414,5.560224583,pigeonpeas
5,65,35,20.43517772,39.37252634,4.747352458,pigeonpeas
31,78,7,36.00415838,56.01334416,7.313517308,pigeonpeas
25,61,17,31.46846241,35.39454002,5.661826398,pigeonpeas
19,51,6,36.30049702,56.03021253,4.672437054,pigeonpeas
0,56,30,29.49096726,67.10604388,6.471862118,pigeonpeas
3,46,8,30.5753044,34.75591197,5.384762927,pigeonpeas
